,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Calc. Adj. Open,Calc. Adj. High,Calc. Adj.Low,Calc. Adj. Close,% Error
0,2007-12-03,181.86,184.14,177.7,178.86,34338200.0,0.0,1.0,23.37154470113,23.664556478973,22.836926720504,22.986002888178,240367400.0,23.366075274516774,23.674040175919725,22.805342503917842,22.973338454082995,0.05509628688647681
1,2007-12-04,177.15,180.9,176.99,179.81,27635700.0,0.0,1.0,22.766244054796,23.248171320986,22.745681824772,23.108091128946,193449900.0,22.7609162810989,23.257488149363947,22.71422380286111,23.09535942876364,0.055096286886338317
2,2007-12-05,182.89,186.0,182.41,185.5,31871500.0,0.0,1.0,23.50391405691,23.903592403003,23.442227366838,23.839335434178,223100500.0,23.498413653119826,23.913171894868402,23.40980599966039,23.826200845535038,0.0550962868878131
3,2007-12-06,186.19,190.1,186.12,189.9528,32136100.0,0.0,1.0,23.928010051157,24.430499547371,23.919014075521,24.411582295748,224952700.0,23.922410400100507,24.44029020007786,23.8859332967315,24.398132420332878,0.05509628688618761
4,2007-12-07,190.54,194.99,188.04,194.3,38073800.0,0.0,1.0,24.487045679937,25.058932702482,24.16576083581,24.970258085503,266516600.0,24.48131520293866,25.068975203120377,24.1323387981807,24.95650040047147,0.05509628688827718
5,2007-12-10,193.59,195.66,192.69,194.21,25799200.0,0.0,1.0,24.879013189771,25.145037040708,24.763350645886,24.958691831114,180594400.0,24.87319098423898,25.15511404811801,24.729102122002974,24.944940518659617,0.05509628688647411
6,2007-12-11,194.75,196.83,187.39,188.5404,39675900.0,0.0,1.0,25.028089357446,25.295398347759,24.082226776338,24.230069210211,277731300.0,25.022232264995832,25.305535613263164,24.048920269044256,24.216719341765575,0.055096286888846234
7,2007-12-12,193.44,194.48,185.76,190.86,43773600.0,0.0,1.0,24.859736099123,24.99339059428,23.872749057967,24.528170139985,306415200.0,24.85391840483078,25.00340682856993,23.839732265209776,24.514656028996317,0.055096286887922286
8,2007-12-13,190.19,192.12,187.82,191.83,30879200.0,0.0,1.0,24.442065801759,24.690097701425,24.137487769527,24.652828659506,216154400.0,24.43634585098616,24.699992389473753,24.104104834472984,24.639245866301806,0.05509628688777654
9,2007-12-14,190.37,200.0,189.54,190.39,24082600.0,0.0,1.0,24.465198310536,25.702787530111,24.358531742286,24.467768589289,168578200.0,24.459472946276023,25.71308805899828,24.32484309618788,24.4542877573122,0.05509628688699139
10,2007-12-17,190.72,192.65,182.98,184.4,36596200.0,0.0,1.0,24.510178188714,24.75821008838,23.515480311299,23.697970102762,256173400.0,24.504442298228525,24.768132072830088,23.482957632903123,23.68491340116797,0.055096286886218086
11,2007-12-18,186.52,187.33,178.6,182.98,43664400.0,0.0,1.0,23.970419650582,24.074515940079,22.952589264389,23.515480311299,305650800.0,23.96481007479858,24.084163930460743,22.92084508272215,23.502524154803233,0.05509628688954732
12,2007-12-19,182.98,184.6394,180.9,183.12,29552800.0,0.0,1.0,23.515480311299,23.728736339436,23.248171320986,23.53347226257,206869600.0,23.509977200764748,23.738245756803032,23.216018339666505,23.520506193177233,0.055096286889164695
13,2007-12-20,185.43,187.83,183.33,187.21,27644900.0,0.0,1.0,23.830339458543,24.138772908904,23.560460189476,24.059094267561,193514300.0,23.824762664432217,24.148446650608236,23.527875302438147,24.045838599960188,0.0550962868900911
14,2007-12-21,190.12,193.9125,189.89,193.91,35498600.0,0.0,1.0,24.433069826124,24.920458934663,24.403511620464,24.920137649819,248490200.0,24.42735198059567,24.930445941202517,24.369760765722884,24.906407579286782,0.0550962868871581
