Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-May-2023,20.36,20.36,20.36,20.36,20.360000000000000000,4000,1,81440.00,4000,100.00,0.00,0.00
11-May-2023,21.43,21.43,21.43,21.43,21.430000000000000000,4000,1,85720.00,4000,100.00,0.00,0.00
2-May-2023,22.55,22.55,22.55,22.55,22.550000000000000000,4000,1,90200.00,4000,100.00,0.00,0.00
24-April-2023,24.35,24.45,23.29,23.73,23.853333333333333333,24000,6,572480.00,16000,66.67,1.16,-0.62
21-April-2023,21.47,23.49,21.47,23.49,22.143333333333333333,12000,3,265720.00,12000,100.00,2.02,2.02
20-April-2023,46.64,48.97,44.31,45.20,46.643589743589743589,78000,37,3638200.00,66000,84.62,4.66,-1.44
19-April-2023,46.45,46.64,44.42,46.64,46.299545454545454545,44000,22,2037180.00,44000,100.00,2.22,0.19
18-April-2023,44.42,44.42,43.00,44.42,44.278000000000000000,20000,10,885560.00,16000,80.00,1.42,0.00
17-April-2023,40.00,42.31,40.00,42.31,42.031333333333333333,30000,14,1260940.00,30000,100.00,2.31,2.31
